"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3,J1";"DB9FC";2;"DB9";;;
2;"C3";"TantalC_SizeD_EIA-7343_HandSoldering";1;"33uF 16V";;;
3;"C4";"c_elec_6.3x5.8";1;"1uF 16V";;;
4;"C7,C10,C12,C14,C11";"c_elec_6.3x5.8";5;"47uF 16V";;;
5;"C8,C9";"c_elec_6.3x5.8";2;"1uF";;;
6;"C16,C17";"SMD-1206_Pol";2;"1uF";;;
7;"C18,C37";"TantalC_SizeD_EIA-7343_HandSoldering";2;"10uF";;;
8;"C19";"TantalC_SizeD_EIA-7343_HandSoldering";1;"22uF 6.3v";;;
9;"C21,C23";"c_elec_6.3x5.8";2;"220uF 16V";;;
10;"C22";"TantalC_SizeB_EIA-3528_HandSoldering";1;"1000uF 16V";;;
11;"C30,C33,C34,C35,C36,C39,C6,C13";"C_0805_HandSoldering";8;"100nF";;;
12;"C31,C32";"C_0805_HandSoldering";2;"18pF";;;
13;"C38";"C_0805_HandSoldering";1;"10nF";;;
14;"CON1";"BARREL_JACK";1;"12V DC";;;
15;"D1,D2";"SMB_Handsoldering";2;"1N5822";;;
16;"D3";"LED-5MM";1;"SAT_ON";;;
17;"D4";"LED-5MM";1;"GPS_ON";;;
18;"D5";"LED-5MM";1;"PWR_ON";;;
19;"D6";"LED-5MM";1;"STATUS";;;
20;"IC1";"SOIC-28_7.5x17.9mm_Pitch1.27mm";1;"ENC28J60-I/SO";;;
21;"L1,L2,L3,L4,L5";"SELF-WE-PD-XXL";5;"100uH";;;
22;"L6";"Neosid_Air-Coil_SML_2turn_HAM0231A";1;"ferrite bead";;;
23;"P2";"Socket_Strip_Straight_1x02";1;"LIPO_BAT";;;
24;"P4";"Pin_Header_Straight_1x03";1;"UART_0";;;
25;"P5";"Pin_Header_Straight_1x03";1;"UART_4";;;
26;"P6";"Pin_Header_Straight_1x01";1;"ETH_CLKOUT";;;
27;"P7";"Pin_Header_Straight_1x04";1;"RS232-UART";;;
28;"P8";"Pin_Header_Straight_1x02";1;"RS232-2";;;
29;"R3,R23";"R_0805_HandSoldering";2;"10k";;;
30;"R4,R5";"R_0805_HandSoldering";2;"2k2";;;
31;"R6,R7";"R_0805_HandSoldering";2;"330";;;
32;"R8,R9,R31,R1,R2";"R_0805_HandSoldering";5;"0R";;;
33;"R10";"R_0805_HandSoldering";1;"2k";;;
34;"R11,R12,R15";"R_0805_HandSoldering";3;"1k";;;
35;"R13,R14";"R_0805_HandSoldering";2;"1k2";;;
36;"R18,R19,R20,R21";"R_0805_HandSoldering";4;"220R";;;
37;"R22";"R_0805_HandSoldering";1;"100k";;;
38;"R24";"R_0805_HandSoldering";1;"2k2 %1";;;
39;"R25,R26,R27,R29";"R_0805_HandSoldering";4;"49.9 %1";;;
40;"R28,R30";"R_0805_HandSoldering";2;"180R";;;
41;"U3";"SOIC-16_3.9x9.9mm_Pitch1.27mm";1;"MAX232";;;
42;"U4,U5";"Pentawatt_Neutral_Straight_Vertical_TO220-5-T05A";2;"LM2576";;;
43;"W1";"1pin";1;"GNDA";;;
44;"W2";"1pin";1;"5V OTG";;;
45;"X1";"Crystal_HC52-U_Vertical";1;"CRYSTAL_SMD";;;
46;"C20";"C_Radial_D10_L13_P5";1;"1000uF 16V";;;
47;"P1";"BB-2X50-SMD";1;"CONN_02X50";;;
48;"J2";"RJHSE538X";1;"RJ45-TRANSFO";;;
49;"U1";"A20-SOM";1;"SOM-A20";;;
50;"C1,C2,C5";"C_0805_HandSoldering";3;"33pF";;;
51;"U2";"SIMCARD";1;"SIMCARD_HOLDER";;;
52;"P3";"bnc-ci";1;"SAT MODULE GPS";;;
53;"P9";"bnc-ci";1;"AKTIF GPS ANTEN";;;
